,original,paraphrase
0,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this image is a mess of common insults mixed with a few lines that are clearly designed to tug at your heartstrings making you think he's some kinda politician or something trying to win over a judge 
0,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this pic is straight trash sprinkled with a few lines to tug at ur heartstrings so u think hes some kinda politician or somethin
1,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this image is a hot mess with a few cheap shots thrown in to
0,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this pic is straight-up a mess of standard curse words mixed with a few lines that make you think he's some kinda politician or whatever trying to win ppl over
1,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this image is basically just a bunch of regular prof
0,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this pic is straight up trash but i guess u gotta feel bad for the dude trying to get reelected or something
1,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this mess is basically just a bunch of curse words with some feel-good nonsense thrown in like he's running
0,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this pic is a sorry excuse for a work of art but hey who can blame the guy hes got some decent people skills so lets cut him some slack 
1,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this photo is basically just a mess but youve got to
0,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this pic is a mess of typical insults mixed with some comments that are so desperate for sympathy you'd think he's campaigning or trying to sweet-talk a parole officer 
1,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,it's a bunch of your run-of-the-m
0,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,"this pic is just a load of common profanity mixed with a few comments designed to tug at your heartstrings, making you wonder if he's running for public office or just trying to sweet-talk his probation officer"
1,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this image is
0,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,this pic is basically a mess of generic profanity mixed with a few lines that are so over-the-top they'll make you think he's running for public office or trying to charm his probation officer
